drug,reaction_term,a,b,c,d,prr,chi_square,signal_flag
AVANDIA,HEART INJURY,1005,95276,1485,20594924,144.774,85588.5201,True
AVANDIA,CORONARY ARTERIAL STENT INSERTION,1959,94322,3036,20593373,138.0332,162021.8655,True
AVANDIA,CORONARY ARTERY BYPASS,2219,94062,3485,20592924,136.2089,182014.2208,True
AVANDIA,ISCHAEMIC CARDIOMYOPATHY,1008,95273,2049,20594360,105.2372,69766.6089,True
AVANDIA,CARDIAC FAILURE CONGESTIVE,26009,70272,54020,20542389,102.9959,1780160.9954,True
AVANDIA,CORONARY ARTERY DISEASE,9443,86838,20670,20575739,97.7283,621463.6915,True
AVANDIA,VASCULAR GRAFT,750,95531,2101,20594308,76.3636,41113.698,True
AVANDIA,ANGINA UNSTABLE,1346,94935,5127,20591282,56.1607,57778.4413,True
AVANDIA,MYOCARDIAL INFARCTION,33739,62542,139781,20456628,51.6339,1360930.2047,True
AVANDIA,MYOCARDIAL ISCHAEMIA,2146,94135,9179,20587230,50.0133,83592.3909,True
AVANDIA,SUDDEN CARDIAC DEATH,528,95753,2856,20593553,39.5482,16746.1198,True
AVANDIA,STENT PLACEMENT,1042,95239,6912,20589497,32.2489,27428.8369,True
AVANDIA,ARTERIOSCLEROSIS CORONARY ARTERY,768,95513,5753,20590656,28.5573,18023.3337,True
AVANDIA,ACUTE CORONARY SYNDROME,955,95326,7278,20589131,28.07,22047.7382,True
AVANDIA,ACUTE MYOCARDIAL INFARCTION,3380,92901,25840,20570569,27.9818,77876.8367,True
AVANDIA,ARTERIOSCLEROSIS,1040,95241,8264,20588145,26.9212,23065.5889,True
AVANDIA,CARDIOVASCULAR DISORDER,2414,93867,22830,20573579,22.6195,45167.1447,True
AVANDIA,CEREBROVASCULAR ACCIDENT,14854,81427,152946,20443463,20.7757,256941.5653,True
AVANDIA,CARDIAC DISORDER,6741,89540,85938,20510471,16.7799,93174.6063,True
AVANDIA,MACULAR OEDEMA,383,95898,5141,20591268,15.9368,4991.4159,True
AVANDIA,CONGESTIVE CARDIOMYOPATHY,285,95996,3888,20592521,15.6808,3650.4217,True
AVANDIA,CATHETERISATION CARDIAC,292,95989,4092,20592317,15.265,3634.0275,True
AVANDIA,ISCHAEMIA,303,95978,4263,20592146,15.2047,3754.9536,True
AVANDIA,CARDIOMYOPATHY,945,95336,13658,20582751,14.8012,11382.003,True
AVANDIA,TRANSIENT ISCHAEMIC ATTACK,1871,94410,31571,20564838,12.6776,19030.1264,True
AVANDIA,ANGINA PECTORIS,1379,94902,27090,20569319,10.8895,11801.5101,True
AVANDIA,CARDIAC PACEMAKER INSERTION,284,95997,5609,20590800,10.8314,2412.8829,True
AVANDIA,INJURY,2828,93453,66906,20529503,9.042,19472.8942,True
AVANDIA,CORONARY ARTERY OCCLUSION,534,95747,13069,20583340,8.7408,3519.2757,True
AVANDIA,HYPERLIPIDAEMIA,448,95833,11381,20585028,8.4207,2820.335,True
AVANDIA,CARDIOMEGALY,431,95850,11812,20584597,7.8056,2468.8485,True
AVANDIA,CARDIAC OPERATION,286,95995,8096,20588313,7.5569,1572.2511,True
AVANDIA,MITRAL VALVE INCOMPETENCE,346,95935,10824,20585585,6.8382,1672.0833,True
AVANDIA,CARDIO-RESPIRATORY ARREST,1131,95150,40405,20556004,5.988,4580.491,True
AVANDIA,ATRIAL FIBRILLATION,2093,94188,94158,20502251,4.7551,6100.0638,True
AVANDIA,VENTRICULAR TACHYCARDIA,337,95944,16018,20580391,4.5006,899.3918,True
AVANDIA,ARRHYTHMIA,964,95317,45971,20550438,4.4858,2563.432,True
AVANDIA,CARDIOGENIC SHOCK,287,95994,13796,20582613,4.4502,752.5663,True
AVANDIA,CARDIAC ARREST,1621,94660,80149,20516260,4.3265,4079.8447,True
AVANDIA,BLOOD GLUCOSE DECREASED,864,95417,46702,20549707,3.9576,1879.2929,True
AVANDIA,DIABETES MELLITUS INADEQUATE CONTROL,310,95971,17168,20579241,3.8627,646.5775,True
AVANDIA,ISCHAEMIC STROKE,305,95976,17333,20579076,3.7642,608.9313,True
AVANDIA,HEART RATE IRREGULAR,368,95913,22060,20574349,3.5686,669.9163,True
AVANDIA,PULMONARY HYPERTENSION,334,95947,20302,20576107,3.5193,593.1993,True
AVANDIA,CARDIAC FAILURE,1230,95051,78061,20518348,3.3707,2026.8384,True
AVANDIA,OEDEMA,791,95490,52631,20543778,3.215,1192.3294,True
AVANDIA,PULMONARY OEDEMA,636,95645,43602,20552807,3.1203,905.1197,True
AVANDIA,CHEST PAIN,2567,93714,180573,20415836,3.0411,3498.1693,True
AVANDIA,FLUID RETENTION,692,95589,49481,20546928,2.9917,907.1093,True
AVANDIA,CEREBRAL INFARCTION,330,95951,23805,20572604,2.9655,424.5094,True
AVANDIA,BLOOD GLUCOSE INCREASED,2366,93915,184306,20412103,2.7462,2617.3007,True
AVANDIA,PLEURAL EFFUSION,647,95634,59466,20536943,2.3275,486.0035,True
AVANDIA,OEDEMA PERIPHERAL,1210,95071,119501,20476908,2.166,756.3219,True
AVANDIA,RENAL FAILURE ACUTE,404,95877,42073,20554336,2.0541,216.9134,True
AVANDIA,BLINDNESS,370,95911,39809,20556600,1.9883,180.4229,False
AVANDIA,RENAL FAILURE,1207,95074,130806,20465603,1.9739,578.386,False
AVANDIA,HYPOGLYCAEMIA,435,95846,47466,20548943,1.9605,203.298,False
AVANDIA,HYPERTENSION,1888,94393,207348,20389061,1.9478,871.7567,False
