drug,reaction_term,a,b,c,d,prr,chi_square,signal_flag
BAYCOL,BUNDLE BRANCH BLOCK LEFT,5,195,4209,20688281,122.9062,603.9774,True
BAYCOL,ANGINA UNSTABLE,6,194,6467,20686023,95.9911,563.6629,True
BAYCOL,HYPERLIPIDAEMIA,9,191,11820,20680670,78.7785,690.9901,True
BAYCOL,CORONARY ARTERY DISEASE,21,179,30092,20662398,72.2023,1475.6582,True
BAYCOL,MITRAL VALVE INCOMPETENCE,7,193,11163,20681327,64.8784,440.2182,True
BAYCOL,SPINAL OSTEOARTHRITIS,5,195,8711,20683779,59.3861,286.9709,True
BAYCOL,CARDIOMEGALY,7,193,12236,20680254,59.189,400.4496,True
BAYCOL,ROTATOR CUFF SYNDROME,7,193,12715,20679775,56.9593,384.8627,True
BAYCOL,ARTERIOSCLEROSIS,5,195,9299,20683191,55.631,268.2211,True
BAYCOL,HYPERCHOLESTEROLAEMIA,5,195,9438,20683052,54.8116,264.1301,True
BAYCOL,ECONOMIC PROBLEM,8,192,15202,20677288,54.4468,419.8088,True
BAYCOL,BLOOD TRIGLYCERIDES INCREASED,9,191,17486,20675004,53.2519,461.5886,True
BAYCOL,HIATUS HERNIA,5,195,12799,20679691,40.4182,192.2585,True
BAYCOL,END STAGE RENAL DISEASE,7,193,18171,20674319,39.8568,265.3039,True
BAYCOL,BLOOD CHOLESTEROL INCREASED,17,183,46009,20646481,38.2286,617.4774,True
BAYCOL,TYPE 2 DIABETES MELLITUS,12,188,33319,20659171,37.2625,424.0026,True
BAYCOL,SINUS TACHYCARDIA,5,195,13982,20678508,36.9984,175.1832,True
BAYCOL,ANGINA PECTORIS,10,190,28459,20664031,36.3549,344.177,True
BAYCOL,OSTEOPENIA,5,195,15052,20677438,34.3683,162.0513,True
BAYCOL,DIABETES MELLITUS INADEQUATE CONTROL,5,195,17473,20675017,29.6064,138.278,True
BAYCOL,OSTEOARTHRITIS,11,189,41905,20650585,27.1587,277.6408,True
BAYCOL,MYOCARDIAL INFARCTION,45,155,173475,20519015,26.8385,1128.5831,True
BAYCOL,CARDIAC FAILURE CONGESTIVE,19,181,80010,20612480,24.5693,431.1548,True
BAYCOL,RESPIRATORY DISORDER,7,193,29599,20662891,24.4683,157.7526,True
BAYCOL,INJURY,16,184,69718,20622772,23.7442,349.6797,True
BAYCOL,FEAR,6,194,26741,20665749,23.2143,127.6809,True
BAYCOL,TRANSIENT ISCHAEMIC ATTACK,7,193,33435,20659055,21.661,138.1449,True
BAYCOL,RENAL INJURY,6,194,29620,20662870,20.958,114.1744,True
BAYCOL,CHRONIC KIDNEY DISEASE,15,185,75628,20616862,20.5207,279.5074,True
BAYCOL,RHABDOMYOLYSIS,8,192,41069,20651421,20.1539,145.8892,True
BAYCOL,ANHEDONIA,5,195,26135,20666355,19.7938,89.3176,True
BAYCOL,MENTAL STATUS CHANGES,5,195,27425,20665065,18.8628,84.6759,True
BAYCOL,RENAL FAILURE,19,181,131994,20560496,14.893,247.7881,True
BAYCOL,HYPERTENSION,30,170,209206,20483284,14.8364,391.0137,True
BAYCOL,CARDIAC DISORDER,13,187,92666,20599824,14.5146,164.2986,True
BAYCOL,EMOTIONAL DISTRESS,16,184,119887,20572603,13.808,191.169,True
BAYCOL,DIABETES MELLITUS,10,190,75560,20616930,13.6928,118.0735,True
BAYCOL,MYALGIA,21,179,167717,20524773,12.9546,233.5323,True
BAYCOL,ATRIAL FIBRILLATION,12,188,96239,20596251,12.9007,132.3376,True
BAYCOL,CONVULSION,7,193,57232,20635258,12.6544,75.3332,True
BAYCOL,OEDEMA PERIPHERAL,14,186,120697,20571793,12.0009,141.9913,True
BAYCOL,LIVER DISORDER,5,195,43711,20648779,11.8348,49.6959,True
BAYCOL,STRESS,8,192,70971,20621519,11.6625,78.2456,True
BAYCOL,RENAL DISORDER,5,195,46071,20646419,11.2286,46.6871,True
BAYCOL,ARRHYTHMIA,5,195,46930,20645560,11.0231,45.6676,True
BAYCOL,CHEST PAIN,19,181,183121,20509369,10.7349,169.2133,True
BAYCOL,ARTHRITIS,8,192,77744,20614746,10.6465,70.1797,True
BAYCOL,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,5,195,51447,20641043,10.0552,40.8711,True
BAYCOL,CEREBROVASCULAR ACCIDENT,16,184,167784,20524706,9.8663,128.5117,True
BAYCOL,ARTHROPATHY,5,195,55046,20637444,9.3978,37.6178,True
BAYCOL,MUSCULAR WEAKNESS,10,190,112140,20580350,9.2262,73.7388,True
BAYCOL,DRUG HYPERSENSITIVITY,17,183,191638,20500852,9.178,125.026,True
BAYCOL,GASTROOESOPHAGEAL REFLUX DISEASE,7,193,79127,20613363,9.1528,51.0253,True
BAYCOL,ADVERSE EVENT,8,192,90933,20601557,9.1023,57.9469,True
BAYCOL,WHEEZING,5,195,58378,20634112,8.8614,34.967,True
BAYCOL,DYSPEPSIA,8,192,96806,20595684,8.5501,53.5826,True
BAYCOL,HEART RATE INCREASED,8,192,97716,20594774,8.4705,52.9539,True
BAYCOL,UNEVALUABLE EVENT,6,194,74666,20617824,8.314,38.7425,True
BAYCOL,DEPRESSION,18,182,225490,20467000,8.259,116.0977,True
BAYCOL,MUSCLE SPASMS,14,186,181122,20511368,7.9972,86.4621,True
BAYCOL,SYNCOPE,7,193,98784,20593706,7.3315,38.4563,True
BAYCOL,BRONCHITIS,5,195,73421,20619069,7.0458,26.0294,True
BAYCOL,ACUTE KIDNEY INJURY,10,190,150289,20542201,6.8842,50.6595,True
BAYCOL,BLOOD PRESSURE INCREASED,9,191,151190,20541300,6.1589,39.1752,True
BAYCOL,PAIN IN EXTREMITY,17,183,291256,20401234,6.0389,72.4924,True
BAYCOL,TACHYCARDIA,5,195,87675,20604815,5.9003,20.4345,True
BAYCOL,ASTHENIA,21,179,371060,20321430,5.8554,86.0893,True
BAYCOL,PALPITATIONS,6,194,115455,20577035,5.3768,21.4953,True
BAYCOL,CONFUSIONAL STATE,8,192,159765,20532725,5.1807,27.1987,True
BAYCOL,ANXIETY,14,186,281509,20410981,5.1454,47.3989,True
BAYCOL,SINUSITIS,5,195,101425,20591065,5.1004,16.5629,True
BAYCOL,BACK PAIN,11,189,229398,20463092,4.9612,35.1786,True
BAYCOL,FALL,13,187,328063,20364427,4.0999,30.9586,True
BAYCOL,DYSPNOEA,22,178,558105,20134385,4.0784,52.534,True
BAYCOL,HYPERHIDROSIS,5,195,127252,20565238,4.0653,11.6273,True
BAYCOL,ARTHRALGIA,16,184,408867,20283623,4.0487,37.4708,True
BAYCOL,ABDOMINAL DISTENSION,4,196,102599,20589891,4.0337,9.1714,True
BAYCOL,WEIGHT INCREASED,8,192,219837,20472653,3.7651,16.4191,True
BAYCOL,WEIGHT DECREASED,10,190,275339,20417151,3.7576,20.5098,True
BAYCOL,URINARY TRACT INFECTION,6,194,167824,20524666,3.699,11.912,True
BAYCOL,ABDOMINAL PAIN UPPER,7,193,202717,20489773,3.5727,13.0957,True
BAYCOL,CONSTIPATION,7,193,213546,20478944,3.3915,11.9271,True
BAYCOL,DIZZINESS,16,184,491269,20201221,3.3696,27.31,True
BAYCOL,PARAESTHESIA,5,195,155624,20536866,3.3241,8.186,True
BAYCOL,ANAEMIA,6,194,188330,20504160,3.2962,9.6854,True
BAYCOL,PAIN,18,182,607140,20085350,3.0674,25.8383,True
BAYCOL,COUGH,8,192,276098,20416392,2.9978,10.7951,True
BAYCOL,OVERDOSE,6,194,213764,20478726,2.904,7.5682,True
BAYCOL,INSOMNIA,7,193,263234,20429256,2.7513,7.9037,True
BAYCOL,DECREASED APPETITE,6,194,228547,20463943,2.7162,6.5786,True
BAYCOL,PYREXIA,8,192,341642,20350848,2.4227,6.7958,True
BAYCOL,FATIGUE,17,183,766571,19925919,2.2945,12.8922,True
BAYCOL,CONDITION AGGRAVATED,5,195,297976,20394514,1.7361,1.5832,False
BAYCOL,HEADACHE,9,191,617853,20074637,1.5071,1.5828,False
BAYCOL,RASH,6,194,427875,20264615,1.4508,0.8583,False
BAYCOL,VOMITING,6,194,462648,20229842,1.3418,0.5343,False
BAYCOL,NAUSEA,10,190,778522,19913968,1.329,0.8461,False
BAYCOL,DEATH,9,191,849870,19842620,1.0957,0.0784,False
BAYCOL,DIARRHOEA,5,195,634716,20057774,0.815,0.2165,False
BAYCOL,DRUG INEFFECTIVE,8,192,1299273,19393217,0.637,1.7651,False
