drug,reaction_term,a,b,c,d,prr,chi_square,signal_flag
VIOXX,POLYTRAUMATISM,1058,43221,286,20648125,1725.0769,387958.6628,True
VIOXX,HEPATOCELLULAR DAMAGE,658,43621,1599,20646812,191.8962,88535.6639,True
VIOXX,VENTRICULAR HYPERTROPHY,559,43720,1940,20646471,134.3689,57452.6758,True
VIOXX,ORGAN FAILURE,628,43651,3370,20645041,86.8998,44956.8624,True
VIOXX,CAROTID ARTERY STENOSIS,539,43740,2925,20645486,85.9314,38211.4901,True
VIOXX,ANGINA UNSTABLE,959,43320,5514,20642897,81.1037,64651.7274,True
VIOXX,CARDIOVASCULAR DISORDER,3590,40689,21654,20626757,77.3117,232242.3977,True
VIOXX,CORONARY ARTERY DISEASE,4129,40150,25984,20622427,74.1016,257309.3916,True
VIOXX,CORONARY ARTERY STENOSIS,628,43651,4352,20644059,67.2914,35849.1253,True
VIOXX,HYPERLIPIDAEMIA,1349,42930,10480,20637931,60.026,69409.8231,True
VIOXX,MYOCARDIAL INFARCTION,17938,26341,155582,20492829,53.7655,839918.6505,True
VIOXX,ANGINA PECTORIS,2664,41615,25805,20622606,48.1415,111622.1837,True
VIOXX,ARTERIOSCLEROSIS CORONARY ARTERY,609,43670,5912,20642499,48.0365,25437.4398,True
VIOXX,MITRAL VALVE INCOMPETENCE,906,43373,10264,20638147,41.1624,32641.0765,True
VIOXX,ARTERIOSCLEROSIS,747,43532,8557,20639854,40.7088,26622.7279,True
VIOXX,CEREBROVASCULAR ACCIDENT,13342,30937,154458,20493953,40.2809,474285.0112,True
VIOXX,ACUTE MYOCARDIAL INFARCTION,2122,42157,27098,20621313,36.5172,68076.2384,True
VIOXX,TRICUSPID VALVE INCOMPETENCE,565,43714,7237,20641174,36.4065,18053.0957,True
VIOXX,CORONARY ARTERY OCCLUSION,926,43353,12677,20635734,34.063,27712.8027,True
VIOXX,TRANSIENT ISCHAEMIC ATTACK,2143,42136,31299,20617112,31.9286,60187.2068,True
VIOXX,HYPERCHOLESTEROLAEMIA,605,43674,8838,20639573,31.922,16968.4744,True
VIOXX,EMBOLISM,518,43761,7727,20640684,31.2613,14226.2982,True
VIOXX,MYOCARDIAL ISCHAEMIA,652,43627,10673,20637738,28.4872,16305.9104,True
VIOXX,ULCER,804,43475,14920,20633491,25.129,17688.7171,True
VIOXX,ISCHAEMIC STROKE,894,43385,16744,20631667,24.8982,19484.0522,True
VIOXX,CARDIOMEGALY,597,43682,11646,20636765,23.9049,12470.6636,True
VIOXX,SLEEP APNOEA SYNDROME,769,43510,18107,20630304,19.8047,13183.3024,True
VIOXX,THROMBOSIS,3165,41114,76458,20571953,19.3037,52950.3233,True
VIOXX,ARRHYTHMIA,1707,42572,45228,20603183,17.6001,25812.8734,True
VIOXX,CARDIAC DISORDER,3169,41110,89510,20558901,16.5097,44795.0417,True
VIOXX,CARDIAC FAILURE CONGESTIVE,2536,41743,77493,20570918,15.2607,32851.5428,True
VIOXX,INJURY,2160,42119,67574,20580837,14.9061,27245.8445,True
