drug,reaction_term,a,b,c,d,prr,chi_square,signal_flag
VIOXX,POLYTRAUMATISM,1058,43221,286,20648125,1725.0769,387958.6628,True
VIOXX,HEPATOCELLULAR DAMAGE,658,43621,1599,20646812,191.8962,88535.6639,True
AVANDIA,HEART INJURY,1005,95276,1485,20594924,144.774,85588.5201,True
AVANDIA,CORONARY ARTERIAL STENT INSERTION,1959,94322,3036,20593373,138.0332,162021.8655,True
AVANDIA,CORONARY ARTERY BYPASS,2219,94062,3485,20592924,136.2089,182014.2208,True
VIOXX,VENTRICULAR HYPERTROPHY,559,43720,1940,20646471,134.3689,57452.6758,True
BAYCOL,BUNDLE BRANCH BLOCK LEFT,5,195,4209,20688281,122.9062,603.9774,True
AVANDIA,ISCHAEMIC CARDIOMYOPATHY,1008,95273,2049,20594360,105.2372,69766.6089,True
AVANDIA,CARDIAC FAILURE CONGESTIVE,26009,70272,54020,20542389,102.9959,1780160.9954,True
AVANDIA,CORONARY ARTERY DISEASE,9443,86838,20670,20575739,97.7283,621463.6915,True
BAYCOL,ANGINA UNSTABLE,6,194,6467,20686023,95.9911,563.6629,True
VIOXX,ORGAN FAILURE,628,43651,3370,20645041,86.8998,44956.8624,True
VIOXX,CAROTID ARTERY STENOSIS,539,43740,2925,20645486,85.9314,38211.4901,True
VIOXX,ANGINA UNSTABLE,959,43320,5514,20642897,81.1037,64651.7274,True
BAYCOL,HYPERLIPIDAEMIA,9,191,11820,20680670,78.7785,690.9901,True
VIOXX,CARDIOVASCULAR DISORDER,3590,40689,21654,20626757,77.3117,232242.3977,True
AVANDIA,VASCULAR GRAFT,750,95531,2101,20594308,76.3636,41113.698,True
VIOXX,CORONARY ARTERY DISEASE,4129,40150,25984,20622427,74.1016,257309.3916,True
BAYCOL,CORONARY ARTERY DISEASE,21,179,30092,20662398,72.2023,1475.6582,True
VIOXX,CORONARY ARTERY STENOSIS,628,43651,4352,20644059,67.2914,35849.1253,True
BAYCOL,MITRAL VALVE INCOMPETENCE,7,193,11163,20681327,64.8784,440.2182,True
VIOXX,HYPERLIPIDAEMIA,1349,42930,10480,20637931,60.026,69409.8231,True
BAYCOL,SPINAL OSTEOARTHRITIS,5,195,8711,20683779,59.3861,286.9709,True
BAYCOL,CARDIOMEGALY,7,193,12236,20680254,59.189,400.4496,True
BAYCOL,ROTATOR CUFF SYNDROME,7,193,12715,20679775,56.9593,384.8627,True
AVANDIA,ANGINA UNSTABLE,1346,94935,5127,20591282,56.1607,57778.4413,True
BAYCOL,ARTERIOSCLEROSIS,5,195,9299,20683191,55.631,268.2211,True
BAYCOL,HYPERCHOLESTEROLAEMIA,5,195,9438,20683052,54.8116,264.1301,True
BAYCOL,ECONOMIC PROBLEM,8,192,15202,20677288,54.4468,419.8088,True
VIOXX,MYOCARDIAL INFARCTION,17938,26341,155582,20492829,53.7655,839918.6505,True
BAYCOL,BLOOD TRIGLYCERIDES INCREASED,9,191,17486,20675004,53.2519,461.5886,True
