year_month,a_cumulative,drug_total_cumulative,prr,chi_square,signal_met,is_projected
2003-07,0,1,0.0,0.0039,False,False
2004-01,8,67,30.8764,232.1451,True,False
2004-02,14,111,32.6173,430.6622,True,False
2004-03,16,129,32.0763,483.4929,True,False
2004-04,24,153,40.5711,929.6146,True,False
2004-05,28,162,44.7055,1200.6056,True,False
2004-06,30,171,45.3789,1306.5932,True,False
2004-07,33,180,47.4227,1504.8468,True,False
2004-08,34,182,48.3234,1581.1461,True,False
2004-09,34,184,47.7982,1563.2333,True,False
2004-10,34,188,46.7812,1528.5516,True,False
2004-11,36,195,47.7561,1653.6272,True,False
2004-12,37,201,47.6181,1694.4183,True,False
2005-01,40,256,40.4205,1543.0073,True,False
2005-02,41,275,38.5689,1505.4425,True,False
2005-03,44,291,39.1167,1639.7018,True,False
2005-04,44,299,38.0701,1593.5284,True,False
2005-05,46,304,39.1469,1715.5836,True,False
2005-06,46,311,38.2657,1674.9447,True,False
2005-07,68,382,46.0656,3007.0159,True,False
2005-08,68,385,45.7066,2982.5444,True,False
2005-09,68,389,45.2366,2950.5031,True,False
2005-10,68,393,44.7762,2919.1144,True,False
2005-11,68,397,44.325,2888.3585,True,False
2005-12,68,401,43.8829,2858.2165,True,False
2006-01,74,447,42.8436,3033.0891,True,False
2006-02,78,476,42.4102,3162.9968,True,False
2006-03,81,503,41.6789,3225.1494,True,False
2006-04,94,539,45.1448,4068.663,True,False
2006-05,101,566,46.1967,4477.7355,True,False
2006-06,101,572,45.7121,4428.6868,True,False
2006-07,101,584,44.7728,4333.6142,True,False
2006-08,102,593,44.5304,4351.6882,True,False
2006-09,102,595,44.3807,4336.3882,True,False
2006-10,102,597,44.232,4321.1908,True,False
2006-12,102,601,43.9376,4291.0995,True,False
2007-01,104,662,40.672,4034.8221,True,False
2007-02,105,697,39.0015,3897.8266,True,False
2007-03,107,710,39.0177,3973.7,True,False
2007-04,108,723,38.6746,3973.6733,True,False
2007-05,108,747,37.432,3839.2259,True,False
2007-06,109,751,37.5779,3890.6509,True,False
2007-07,109,776,36.3672,3758.4526,True,False
2007-08,109,783,36.0421,3722.9509,True,False
2007-09,110,787,36.1883,3773.1736,True,False
2007-10,111,794,36.1958,3808.2598,True,False
2007-11,111,797,36.0595,3793.1099,True,False
2007-12,113,801,36.5269,3914.2538,True,False
2008-01,117,878,34.5047,3815.6292,True,False
2008-02,119,893,34.5058,3880.8958,True,False
2008-03,120,900,34.5256,3915.8332,True,False
2008-04,120,908,34.2214,3879.273,True,False
2008-05,121,916,34.2056,3909.6397,True,False
2008-06,123,933,34.1383,3965.8665,True,False
2008-07,126,954,34.2024,4070.5295,True,False
2008-08,135,976,35.8234,4579.9253,True,False
2008-09,137,983,36.0961,4685.0754,True,False
2008-10,138,986,36.2494,4740.3981,True,False
2008-11,139,997,36.1096,4755.2397,True,False
2008-12,141,1001,36.4837,4876.359,True,False
2009-01,150,1023,37.9821,5412.0653,True,False
2009-02,152,1030,38.2279,5521.4984,True,False
2009-03,155,1036,38.758,5712.5448,True,False
2009-04,157,1051,38.6988,5776.7959,True,False
2009-05,163,1064,39.6898,6158.8388,True,False
2009-06,165,1076,39.7297,6240.8417,True,False
2009-07,169,1105,39.6268,6374.4078,True,False
2009-08,169,1119,39.131,6290.5233,True,False
2009-09,171,1154,38.3941,6238.6674,True,False
2009-10,172,1170,38.091,6222.8774,True,False
2009-11,173,1177,38.085,6257.951,True,False
2009-12,175,1201,37.7564,6272.5638,True,False
2010-01,177,1209,37.9361,6375.9371,True,False
2010-02,177,1210,37.9048,6370.3821,True,False
2010-03,182,1228,38.4066,6641.3416,True,False
2010-04,185,1238,38.7257,6809.659,True,False
2010-05,196,1262,40.2536,7513.2577,True,False
2010-06,201,1273,40.9263,7839.7573,True,False
2010-07,210,1302,41.8111,8375.7971,True,False
2010-08,214,1316,42.1563,8608.8308,True,False
2010-09,223,1354,42.7011,9091.4258,True,False
2010-10,228,1373,43.057,9375.876,True,False
2010-11,230,1389,42.9354,9429.9046,True,False
2010-12,233,1401,43.1245,9596.6163,True,False
2011-01,235,1411,43.1875,9693.5531,True,False
2011-02,246,1436,44.428,10451.1537,True,False
2011-03,283,1519,48.3398,13124.3803,True,False
2011-04,294,1535,49.7021,14033.061,True,False
2011-05,299,1553,49.9646,14349.2885,True,False
2011-06,310,1574,51.1186,15232.7403,True,False
2011-07,311,1580,51.0894,15272.6019,True,False
2011-08,311,1585,50.9282,15222.4959,True,False
2011-09,312,1596,50.7404,15212.6909,True,False
2011-11,312,1599,50.6452,15182.9994,True,False
2011-12,313,1601,50.7447,15262.5975,True,False
2012-01,326,1642,51.5409,16153.3273,True,False
2012-02,326,1650,51.291,16071.9026,True,False
2012-03,334,1669,51.9566,16686.8156,True,False
2012-04,359,1715,54.3646,18793.833,True,False
2012-05,391,1781,57.039,21505.1076,True,False
2012-06,391,1789,56.7839,21405.5011,True,False
2012-07,394,1796,56.9987,21653.4382,True,False
2012-08,396,1801,57.1304,21814.8919,True,False
2013-01,454,1991,59.2902,25970.2647,True,False
2013-02,458,2001,59.5167,26301.2432,True,False
2014-03,503,2116,61.8466,30037.8826,True,False
2014-04,531,2201,62.7898,32198.1287,True,False
2015-01,531,2207,62.6191,32107.7513,True,False
2015-02,588,2369,64.645,36715.6328,True,False
2015-03,610,2401,66.1881,39016.3269,True,False
2016-01,610,2409,65.9683,38882.7678,True,False
2016-02,611,2437,65.3179,38550.2757,True,False
2016-03,612,2459,64.8403,38321.7166,True,False
2016-04,612,2473,64.4731,38097.9492,True,False
2016-05,612,2503,63.7003,37626.8788,True,False
2016-06,612,2529,63.0453,37227.6602,True,False
2016-07,613,2545,62.7521,37108.9896,True,False
2016-08,616,2555,62.8147,37327.6203,True,False
2016-09,616,2565,62.5698,37177.3667,True,False
2016-10,616,2574,62.351,37043.1368,True,False
2016-11,617,2579,62.3319,37091.0749,True,False
2016-12,617,2583,62.2354,37031.7557,True,False
2017-01,618,2590,62.1685,37050.1668,True,False
2017-02,619,2597,62.1021,37068.6681,True,False
2017-03,619,2605,61.9113,36951.0887,True,False
2017-04,619,2611,61.769,36863.3771,True,False
2017-05,619,2621,61.5333,36718.0839,True,False
2017-06,619,2628,61.3694,36617.0366,True,False
2017-07,619,2635,61.2063,36516.5264,True,False
2017-08,619,2641,61.0673,36430.799,True,False
2017-09,619,2648,60.9058,36331.2748,True,False
2017-10,619,2651,60.8369,36288.7825,True,False
2017-11,620,2657,60.7983,36323.1343,True,False
2017-12,620,2664,60.6385,36224.4859,True,False
2018-01,620,2681,60.254,35987.0563,True,False
2018-02,620,2688,60.0971,35890.1643,True,False
2018-03,621,2698,59.9716,35870.0211,True,False
2018-04,621,2721,59.4646,35556.4968,True,False
2018-05,621,2730,59.2686,35435.2518,True,False
2018-06,622,2741,59.1265,35403.863,True,False
2018-07,622,2751,58.9115,35270.7229,True,False
2018-08,623,2759,58.8359,35280.044,True,False
2018-09,623,2767,58.6657,35174.5004,True,False
2018-10,625,2773,58.7282,35325.3977,True,False
2018-11,625,2781,58.5592,35220.2438,True,False
2018-12,625,2787,58.4331,35141.7747,True,False
2019-01,625,2795,58.2659,35037.6734,True,False
2019-02,626,2825,57.74,34765.4992,True,False
2019-03,626,2836,57.516,34625.8822,True,False
2019-04,626,2845,57.334,34512.4534,True,False
2019-05,627,2869,56.9459,34324.8279,True,False
2019-06,627,2874,56.8468,34262.9684,True,False
2019-07,627,2877,56.7875,34225.956,True,False
2019-08,627,2883,56.6693,34152.1623,True,False
2019-09,627,2890,56.532,34066.457,True,False
2019-10,627,2894,56.4539,34017.6688,True,False
2019-11,627,2897,56.3954,33981.1661,True,False
2019-12,627,2902,56.2982,33920.496,True,False
2020-01,627,2908,56.1821,33847.9673,True,False
2020-02,627,2911,56.1241,33811.8151,True,False
2020-03,627,2914,56.0664,33775.7374,True,False
2020-04,627,2920,55.9511,33703.8045,True,False
2020-05,627,2921,55.932,33691.8444,True,False
2020-06,627,2928,55.7982,33608.3526,True,False
2020-07,627,2932,55.7221,33560.822,True,False
2020-08,627,2937,55.6272,33501.591,True,False
2020-09,627,2939,55.5894,33477.955,True,False
2020-10,627,2945,55.4761,33407.2398,True,False
2020-11,682,3095,57.4573,37656.9695,True,False
2020-12,686,3102,57.6668,38018.8908,True,False
2021-01,691,3114,57.8668,38431.1372,True,False
2021-02,695,3124,58.0184,38756.4531,True,False
2021-03,704,3142,58.4396,39548.862,True,False
2021-04,704,3143,58.421,39535.8387,True,False
2021-05,704,3146,58.3653,39496.8186,True,False
2021-06,704,3148,58.3282,39470.8465,True,False
2021-07,704,3151,58.2727,39431.9502,True,False
2021-08,704,3152,58.2542,39419.0013,True,False
2021-10,704,3153,58.2357,39406.0605,True,False
2021-11,704,3154,58.2172,39393.128,True,False
2021-12,704,3156,58.1803,39367.2875,True,False
