year_month,a_cumulative,drug_total_cumulative,prr,chi_square,signal_met,is_projected
2004-01,1,3,167.922,166.2539,False,False
2004-02,2,6,167.926,332.5079,False,False
2004-03,2,9,111.9507,220.3459,False,False
2004-04,2,12,83.963,164.2679,False,False
2004-06,2,15,67.1704,130.6235,False,False
2004-07,2,16,62.9722,122.2129,False,False
2004-08,3,20,75.5685,221.1681,True,False
2004-09,3,22,68.6986,200.523,True,False
2004-10,4,24,83.967,328.536,True,False
2004-11,5,28,89.9668,440.7111,True,False
2004-12,5,29,86.8645,425.1726,True,False
2005-01,5,33,76.3355,372.437,True,False
2005-03,5,36,69.9742,340.5771,True,False
2005-05,6,38,79.5515,466.2422,True,False
2005-06,6,40,75.5739,442.3367,True,False
2005-08,6,43,70.3013,410.6487,True,False
2005-09,6,45,67.1768,391.871,True,False
2005-10,6,50,60.4591,351.5005,True,False
2005-11,6,55,54.9628,318.4719,True,False
2005-12,6,57,53.0343,306.8834,True,False
2006-01,6,60,50.3826,290.9497,True,False
2006-02,6,64,47.2337,272.0293,True,False
2006-03,6,68,44.4552,255.3358,True,False
2006-04,6,79,38.2652,218.1493,True,False
2006-05,6,83,36.4211,207.0722,True,False
2006-06,6,84,35.9875,204.4679,True,False
2006-11,6,85,35.5641,201.9249,True,False
2006-12,6,87,34.7466,197.0144,True,False
2007-02,6,88,34.3517,194.643,True,False
2007-12,6,89,33.9657,192.3248,True,False
2008-01,6,90,33.5883,190.0582,True,False
2008-02,6,91,33.2192,187.8415,True,False
2008-05,6,92,32.8582,185.673,True,False
2008-07,6,93,32.5048,183.5512,True,False
2008-08,6,94,32.159,181.4746,True,False
2008-11,6,95,31.8205,179.4417,True,False
2009-02,6,96,31.4891,177.4513,True,False
2009-06,6,97,31.1644,175.5019,True,False
2009-07,6,98,30.8464,173.5923,True,False
2009-08,6,99,30.5348,171.7214,True,False
2009-09,6,102,29.6368,166.3289,True,False
2009-10,6,103,29.349,164.6013,True,False
2009-11,6,104,29.0668,162.9069,True,False
2009-12,6,105,28.79,161.2449,True,False
2010-01,6,107,28.2519,158.0141,True,False
2010-02,6,108,27.9903,156.4437,True,False
2010-05,6,114,26.5171,147.6002,True,False
2010-06,6,115,26.2865,146.2162,True,False
2010-07,6,119,25.4029,140.9128,True,False
2010-08,6,121,24.983,138.3929,True,False
2010-10,6,123,24.5768,135.955,True,False
2010-11,6,124,24.3786,134.7655,True,False
2011-01,6,126,23.9916,132.4435,True,False
2011-02,6,127,23.8027,131.3099,True,False
2011-03,6,130,23.2534,128.014,True,False
2011-05,6,134,22.5593,123.8495,True,False
2011-07,6,135,22.3922,122.847,True,False
2011-09,6,137,22.0653,120.886,True,False
2011-10,6,139,21.7478,118.9815,True,False
2011-11,8,142,28.3858,211.7476,True,False
2011-12,8,146,27.6081,205.5228,True,False
2012-01,8,147,27.4203,204.0196,True,False
2012-03,8,150,26.8719,199.6304,True,False
2012-04,8,153,26.345,195.4136,True,False
2012-05,8,154,26.1739,194.0445,True,False
2012-06,8,155,26.0051,192.6932,True,False
2012-07,8,156,25.8384,191.3592,True,False
2012-09,8,157,25.6738,190.0422,True,False
2012-11,8,158,25.5113,188.7419,True,False
2013-01,8,159,25.3508,187.458,True,False
2013-11,8,160,25.1924,186.1901,True,False
2013-12,8,161,25.0359,184.9381,True,False
2014-02,8,163,24.7287,182.4801,True,False
2014-03,8,167,24.1364,177.7411,True,False
2014-04,8,169,23.8508,175.4558,True,False
2014-07,8,171,23.5718,173.2241,True,False
2015-01,8,172,23.4348,172.1278,True,False
2015-02,8,174,23.1654,169.973,True,False
2015-03,8,175,23.033,168.914,True,False
2015-04,8,177,22.7728,166.8322,True,False
2015-07,8,178,22.6448,165.8088,True,False
2015-09,8,179,22.5183,164.7969,True,False
2016-04,8,180,22.3932,163.7963,True,False
2017-03,8,181,22.2695,162.8068,True,False
2017-04,8,182,22.1471,161.8281,True,False
2017-12,8,183,22.0261,160.8602,True,False
2018-01,8,185,21.788,158.9557,True,False
2018-08,8,186,21.6709,158.0189,True,False
2018-09,8,187,21.555,157.0922,True,False
2018-10,8,188,21.4403,156.1753,True,False
2019-01,8,189,21.3269,155.2681,True,False
2019-04,8,190,21.2146,154.3705,True,False
2019-05,8,192,20.9936,152.6034,True,False
2019-07,8,193,20.8849,151.7336,True,False
2019-08,8,196,20.5652,149.1776,True,False
2019-12,8,197,20.4608,148.343,True,False
2020-01,8,199,20.2552,146.6989,True,False
2020-04,8,200,20.1539,145.8892,True,False
2020-05,8,200,20.1539,145.8892,True,True
2020-06,8,200,20.1539,145.8892,True,True
2020-07,8,200,20.1539,145.8892,True,True
2020-08,8,200,20.1539,145.8892,True,True
2020-09,8,200,20.1539,145.8892,True,True
2020-10,8,200,20.1539,145.8892,True,True
