year_month,a_cumulative,drug_total_cumulative,prr,chi_square,signal_met,is_projected
2003-05,0,1,0.0,0.0085,False,False
2003-12,0,2,0.0,0.0169,False,False
2004-01,31,285,12.9735,345.402,True,False
2004-02,88,651,16.1278,1258.6258,True,False
2004-03,141,1005,16.7437,2103.2288,True,False
2004-04,142,1035,16.3738,2065.3928,True,False
2004-05,144,1055,16.2898,2082.3181,True,False
2004-06,146,1072,16.2543,2106.0131,True,False
2004-07,148,1105,15.9851,2094.8405,True,False
2004-08,152,1117,16.2411,2190.4675,True,False
2004-09,152,1131,16.04,2159.7947,True,False
2004-10,153,1148,15.9065,2153.4944,True,False
2004-11,154,1161,15.8313,2155.9307,True,False
2004-12,155,1165,15.8795,2177.4121,True,False
2005-01,155,1174,15.7578,2158.4757,True,False
2005-02,155,1184,15.6247,2137.7742,True,False
2005-03,157,1194,15.6939,2176.2405,True,False
2005-04,158,1204,15.6628,2185.1531,True,False
2005-05,159,1209,15.6968,2204.4002,True,False
2005-06,160,1213,15.7435,2225.7529,True,False
2005-07,162,1226,15.7715,2258.091,True,False
2005-08,162,1238,15.6186,2233.2392,True,False
2005-09,165,1249,15.768,2299.2906,True,False
2005-10,167,1255,15.883,2346.4066,True,False
2005-11,170,1265,16.0408,2415.4332,True,False
2005-12,170,1278,15.8776,2387.5953,True,False
2006-01,170,1279,15.8652,2385.4775,True,False
2006-02,172,1283,16.002,2437.1233,True,False
2006-03,174,1292,16.0754,2478.2646,True,False
2006-04,175,1297,16.1056,2497.7879,True,False
2006-05,176,1303,16.1231,2515.1435,True,False
2006-06,176,1304,16.1108,2512.9595,True,False
2006-07,176,1305,16.0984,2510.7788,True,False
2006-08,177,1307,16.1652,2536.8932,True,False
2006-12,177,1311,16.1159,2528.1316,True,False
2007-05,177,1312,16.1036,2525.9496,True,False
2007-06,177,1313,16.0913,2523.7709,True,False
2007-09,177,1314,16.0791,2521.5956,True,False
2007-12,177,1315,16.0668,2519.4235,True,False
2008-02,177,1316,16.0546,2517.2548,True,False
2008-06,177,1317,16.0424,2515.0894,True,False
2009-01,177,1318,16.0303,2512.9273,True,False
2009-02,177,1319,16.0181,2510.7685,True,False
2009-04,177,1320,16.006,2508.6129,True,False
2009-07,177,1321,15.9939,2506.4607,True,False
2009-08,177,1322,15.9818,2504.3117,True,False
2010-01,177,1323,15.9697,2502.166,True,False
2010-11,177,1324,15.9576,2500.0235,True,False
2011-03,178,1325,16.0358,2528.0901,True,False
2011-08,178,1326,16.0237,2525.9298,True,False
2014-03,179,1339,15.9573,2528.1895,True,False
2014-04,182,1352,16.069,2590.9172,True,False
2014-05,183,1362,16.0388,2599.5823,True,False
2014-06,183,1371,15.9335,2580.247,True,False
2014-07,184,1381,15.9046,2589.0044,True,False
2014-08,184,1386,15.8472,2578.4107,True,False
2014-09,186,1391,15.9621,2627.8415,True,False
2014-10,186,1400,15.8595,2608.6893,True,False
2014-11,186,1409,15.7582,2589.7827,True,False
2014-12,186,1422,15.6141,2562.8974,True,False
2015-01,188,1432,15.6719,2601.338,True,False
2015-02,188,1447,15.5095,2570.6952,True,False
2015-03,188,1463,15.3398,2538.7049,True,False
2015-04,188,1471,15.2564,2522.9718,True,False
2015-05,188,1483,15.133,2499.6918,True,False
2015-06,188,1496,15.0014,2474.8952,True,False
2015-07,188,1501,14.9515,2465.4728,True,False
2015-08,188,1506,14.9018,2456.1134,True,False
2015-09,188,1515,14.8133,2439.4227,True,False
2015-10,188,1528,14.6873,2415.6627,True,False
2015-11,189,1532,14.7269,2436.0128,True,False
2015-12,189,1537,14.679,2426.9331,True,False
2016-01,189,1543,14.6219,2416.1155,True,False
2016-02,189,1554,14.5184,2396.5011,True,False
2016-03,189,1568,14.3888,2371.9374,True,False
2016-04,189,1573,14.343,2363.2711,True,False
2016-05,190,1582,14.337,2374.6065,True,False
2016-06,190,1588,14.2828,2364.2884,True,False
2016-07,190,1601,14.1668,2342.1991,True,False
2016-08,190,1618,14.0179,2313.8514,True,False
2016-09,190,1629,13.9233,2295.8256,True,False
2016-10,191,1638,13.9197,2307.2162,True,False
2016-11,192,1657,13.8322,2302.4468,True,False
2016-12,192,1668,13.741,2284.8955,True,False
2017-01,192,1680,13.6428,2266.0121,True,False
2017-02,192,1699,13.4903,2236.6618,True,False
2017-03,193,1705,13.5129,2252.6708,True,False
2017-04,193,1710,13.4734,2245.0308,True,False
2017-05,193,1719,13.4028,2231.3913,True,False
2017-06,193,1729,13.3253,2216.4038,True,False
2017-07,193,1736,13.2716,2206.0158,True,False
2017-08,193,1754,13.1353,2179.6868,True,False
2017-09,202,1802,13.3823,2331.1812,True,False
2017-10,203,1811,13.3818,2342.6037,True,False
2017-11,203,1835,13.2068,2307.0152,True,False
2017-12,203,1842,13.1566,2296.811,True,False
2018-01,203,1859,13.0363,2272.3509,True,False
2018-02,203,1867,12.9804,2260.9954,True,False
2018-03,203,1898,12.7684,2217.9021,True,False
2018-04,205,1943,12.5957,2204.2854,True,False
2018-05,205,1967,12.442,2172.7509,True,False
2018-06,205,1978,12.3728,2158.555,True,False
2018-07,205,1990,12.2982,2143.2487,True,False
2018-08,205,2005,12.2061,2124.3751,True,False
2018-09,206,2020,12.1747,2128.238,True,False
2018-10,206,2030,12.1147,2115.8769,True,False
2018-11,206,2055,11.9673,2085.504,True,False
2018-12,206,2078,11.8348,2058.211,True,False
2019-01,206,2094,11.7444,2039.5806,True,False
2019-02,206,2143,11.4758,1984.2683,True,False
2019-03,206,2163,11.3697,1962.4174,True,False
2019-04,207,2196,11.2532,1947.843,True,False
2019-05,207,2226,11.1016,1916.4713,True,False
2019-06,207,2251,10.9783,1890.9721,True,False
2019-07,207,2274,10.8672,1868.0121,True,False
2019-08,210,2306,10.8719,1896.0333,True,False
2019-09,213,2325,10.9373,1936.9941,True,False
2019-10,215,2335,10.9928,1967.086,True,False
2019-11,215,2360,10.8763,1942.0771,True,False
2019-12,216,2381,10.8306,1941.2335,True,False
2020-01,216,2396,10.7628,1926.6071,True,False
2020-02,219,2413,10.8356,1969.2481,True,False
2020-03,224,2442,10.9516,2040.1155,True,False
2020-04,226,2470,10.9243,2052.131,True,False
2020-05,230,2492,11.0197,2110.3283,True,False
2020-06,232,2516,11.0096,2126.3157,True,False
2020-07,237,2539,11.1453,2204.2043,True,False
2020-08,240,2559,11.1984,2244.7871,True,False
2020-09,248,2592,11.4249,2375.6213,True,False
2020-10,250,2608,11.4465,2400.1489,True,False
2020-11,251,2629,11.4005,2398.2084,True,False
2020-12,253,2646,11.4176,2421.6213,True,False
2021-01,255,2658,11.4561,2450.5287,True,False
2021-02,262,2669,11.7225,2587.4634,True,False
2021-03,267,2684,11.8798,2678.7471,True,False
2021-04,270,2696,11.96,2730.4507,True,False
2021-05,270,2705,11.9202,2719.7071,True,False
2021-06,270,2706,11.9158,2718.5178,True,False
2021-07,277,2719,12.1668,2858.3953,True,False
2021-08,279,2731,12.2009,2888.5241,True,False
2021-09,281,2742,12.2392,2919.9598,True,False
2021-10,282,2744,12.2739,2940.1131,True,False
2021-11,284,2754,12.3162,2972.9462,True,False
2021-12,286,2761,12.3716,3009.7029,True,False
2022-01,290,2769,12.5087,3091.4871,True,False
2022-02,290,2776,12.4771,3082.3357,True,False
2022-03,290,2785,12.4368,3070.6378,True,False
2022-04,301,2802,12.831,3305.6175,True,False
2022-05,304,2809,12.9268,3367.6503,True,False
2022-06,306,2811,13.0028,3413.0192,True,False
2022-07,308,2815,13.0693,3455.7953,True,False
2022-08,309,2821,13.0839,3471.5156,True,False
2022-09,311,2829,13.1315,3508.7578,True,False
2022-10,312,2832,13.1598,3528.8697,True,False
2022-11,317,2837,13.3476,3644.8759,True,False
2022-12,320,2846,13.4315,3706.192,True,False
2023-01,321,2847,13.4688,3729.7438,True,False
2023-02,323,2850,13.5386,3775.51,True,False
2023-03,324,2852,13.5711,3797.7085,True,False
2023-04,326,2858,13.6263,3839.1415,True,False
